CO-ID,Provider ID,المحافظة,المنطقة,شركة,التخصص الرئيسي,التخصص الفرعي,مقدم الخدمة,عنوان مقدم الخدمة,Telephone1,Telephone2,Telephone3,Telephone4,Hotline,Line Fax -1,Excluded Services,Action Date,Reason of Inactivation / Termination,Address1,Provider Type,Provider Name,Region,City,sub-speciality,speciality,ND Online Status,Provider Rank,Remarks,Status,,,,,,,,,,,,,,len1 ,len2,len3,len4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID001160,1897-B,الغربية,كفر الزيات,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),تقاطع شارع الجيش مع سعد زغلول - ميدان التحرير-كفر الزيات-الغربية,01090011250,,,,19014,,-,09-مارس-2012,,"Intersection of Al Geish Street & Saad Zaghloul Street, Al Tahrir Square",Laboratory,Al Mokhtabar Laboratory - Egypt,Kafr El Zayat,Gharbeya,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001160
CID001161,3860,الغربية,كفر الزيات,معمل,معمل,معمل التحاليل الطبية,معمل د/ ابراهيم ناجي الشهاوى,مشروع ناصر أمام الضرائب العامة-كفر الزيات-الغربية,20402546793,,,,,,-,09-مارس-2012,,Nasser Projects Infront of Public Taxes,Laboratory,Ibrahim Nagy El Shehawy Laboratory,Kafr El Zayat,Gharbeya,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001161
CID001225,1897-B,الفيوم,الفيوم,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),شارع الحرية – عمارة النساجون الشرقيون-الفيوم,01090011215,,,,19014,,-,09-مارس-2012,,"Horreya Street, Oriental Weavers Building",Laboratory,Al Mokhtabar Laboratory - Egypt,Fayoum,Fayoum,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001225
CID001240,1897-B,الفيوم,سنورس,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),شارع مبارك بجوار فودافون امام مركز سنوس  ( مستشفى النيل التخصصي ) الدور الثاني - الفيوم,01012224975,,,,19014,,-,20/11/2016,,Moubark Street - Beside of Vodavoe,Laboratory,Al Mokhtabar Laboratory - Egypt,Snors,Fayoum,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001240
CID001213,1841,الفيوم,الفيوم,معمل,معمل,معمل التحاليل الطبية,بيولاب للتحاليل الطبية - الفيوم,شارع أحمد شوقي تقاطع ش العزيز - برج الايمان منشاة لطف الله- امام نادى الشبان المسلمين-الفيوم,20842204370,20842204334,,,,20846378818,-,26/09/2012,,"fayoum lotf Allah building, Ahmed Shawky st, Eleman tower",Laboratory,Biolab diagnostic laboratory,Fayoum,Fayoum,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001213
CID004709,2170-B,الفيوم,الفيوم,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية د/ جمال الزيات,ش القاضي جمال الدين - الفيوم,20842305597,,,,,,-,26/11/2017,,Al kady Gamal al Dein Street -Fayoum,Pharmacy,Dr. gamal elzayat pharmacy,Fayoum,Fayoum,Pharmacy,Pharmacy (Drugs & Medical supplies),No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004709
CID001214,2329-B,الفيوم,الفيوم,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,شارع النبوى المهندس امام مستشفى الندى ميدان المسلة-الفيوم,1203301110,,,,16191,,-,30/03/2015,,El Nabawy El Mohnds street infront of El Nada Hospital - El Masala Square,Laboratory,Alfa Laboratories - Egypt,Fayoum,Fayoum,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001214
CID001276,2329-B,الجيزة,الجيزة,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,22 شارع مراد- الجيزة,"1205115039
",,,,16191,20233367080,-,09-مارس-2012,,22 murad st,Laboratory,Alfa Laboratories - Egypt,Giza,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001276
CID001277,104199-B,الجيزة,الجيزة,معمل,معمل,معمل التحاليل الطبية,معامل ترست,5شارع مراد - الجيزة .,20235684568,,,,16183,,-,21/10/2015,,5 Mourad st -Giza square - Giza .,Laboratory,Trust Labs,Giza,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001277
CID001278,1897-B,الجيزة,الجيزة,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),112شارع البحر الأعظم بجوار التوحيد و النور- الجيزة,01010508778,,,,19014,,-,09-مارس-2012,,112 El Bahr El Azaam Street,Laboratory,Al Mokhtabar Laboratory - Egypt,Giza,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001278
CID001279,1897-B,الجيزة,الجيزة,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),22أ شارع مراد بجوار عمر افندي- الجيزة,01090011286,,,,19014,,-,09-مارس-2012,,"22A Morad Street, Next to Omar Affandi",Laboratory,Al Mokhtabar Laboratory - Egypt,Giza,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001279
CID001280,1897-B,الجيزة,البدرشين,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),شارع النيل السعيد - البدرشين - الجيزة,"01090011283
",,,,19014,,-,09-مارس-2012,,"El Nil El Saaid Street, El Badrashean",Laboratory,Al Mokhtabar Laboratory - Egypt,Elbadrasheen,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001280
CID001353,2329-B,الجيزة,الدقي,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,19 شارع مصدق-الدقي- الجيزة,"1272185451
",,,,16191,20233367080,-,09-مارس-2012,,19 mosadak st,Laboratory,Alfa Laboratories - Egypt,Dokki,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001353
CID001354,104199-B,الجيزة,الدقي,معمل,معمل,معمل التحاليل الطبية,معامل ترست,97 شارع التحرير - الدور الخامس - الدقي - الجيزة .,20237498649,,,,16183,,-,21/10/2015,,97 Tahrir st - Dokki - Giza .,Laboratory,Trust Labs,Dokki,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001354
CID001355,1897-B,الجيزة,الدقي,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),104شارع التحرير - الدور الثانى-الدقي- الجيزة,201090011272,20237496583,,,19014,,-,09-مارس-2012,,"104 Tahreer Road, Second Floor",Laboratory,Al Mokhtabar Laboratory - Egypt,Dokki,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,12,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001355
CID001356,2463-B,الجيزة,الدقي,معمل,معمل,معمل التحاليل الطبية,معمل النخبة,30 ش الشاطوري متفرع من شارع الدقي - الدقي - الجيزة,201288812688,,,,16435,,-,09-مارس-2012,,"30 El Shatoury st , El Dokki st , Dokki , 2nd floor.",Laboratory,Elnokhba Laboratories-Egypt,Dokki,Giza,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001356
CID001425,1897-B,القاهرة,الزمالك,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),140 شارع 26 يوليو - امام سنترال الزمالك-الزمالك-القاهرة,01090011273,,,,19014,,-,09-مارس-2012,,"No. 140, 26 July Street",Laboratory,Al Mokhtabar Laboratory - Egypt,Zamalek,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001425
CID001511,3241-B,الجيزة,السادس من اكتوبر,معمل,معمل,معمل التحاليل الطبية,شركة معامل الحياة للتحاليل الطبية,5 مركز هنيده التجاري - امام مسجد الحصري-6 أكتوبر - الجيزة,20238377762,20238377763,,,,,-,09-مارس-2012,,"Hendeya Trading Center, infront of Hosary Mosque",Laboratory,Al Hayah Laboratories,6th October,Giza,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001511
CID001515,2329-B,الجيزة,السادس من اكتوبر,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,فرع 6 أكتوبر - مجمع ماجدة-6 أكتوبر - الجيزة,"1221733144
",,,,16191,20233367080,-,09-مارس-2012,,"6th of October Branch - Magda Complex - 6th of October - Giza
",Laboratory,Alfa Laboratories - Egypt,6th October,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001515
CID001518,1897-B,الجيزة,السادس من اكتوبر,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),شقة 12 الدور الثاني المحور المركزي - مشروع برعي بلازا بجوار مسجد الحصري-6 أكتوبر - الجيزة,01090011234,,,,19014,,-,09-مارس-2012,,"Mehwar Markazi, Second Floor, Apartment 12, Boraee Plaza Projects, Next to Hosary Mosque",Laboratory,Al Mokhtabar Laboratory - Egypt,6th October,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001518
CID001519,1897-B,الجيزة,السادس من اكتوبر,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),مدينة 6 أكتوبر - الحى السادس - أمام قصر الثقافة-6 أكتوبر - الجيزة,01090011205,,,,19014,,-,09-مارس-2012,,"6th District, in front of the Palace of Culture",Laboratory,Al Mokhtabar Laboratory - Egypt,6th October,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001519
CID001561,2329-B,القاهرة,السيدة زينب,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,السيدة زينب 208شارع بور سعيد-السيدة زينب-القاهرة,"1221711154
",,,,16191,20233367080,-,09-مارس-2012,,"208 Port Said Street, Sayeda Zeinab",Laboratory,Alfa Laboratories - Egypt,sayeda zeinab,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001561
CID001562,1897-B,القاهرة,السيدة زينب,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),306 شارع بورسعيد – أمام مستشفى أحمد ماهر - قسم الدرب الاحمر–السيدة زينب-القاهرة,01090011219,,,,19014,,-,09-مارس-2012,,"306 Port Said Street, in front of Ahmed Maher Hospital, Sayeda Zainab",Laboratory,Al Mokhtabar Laboratory - Egypt,sayeda zeinab,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001562
CID001589,2329-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,محل رقم 34 داخل امريكانا بلازا مول - الشيخ زايد الجيزة,"1286260819
",,,,16191,,-,29/10/2016,,Americana Plaza Mall - shop34. Sheikh Zayed,Laboratory,Alfa Laboratories - Egypt,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001589
CID001590,2329-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,مدخل الشيخ زايد-اركان مول-الشيخ زايد- الجيزة,"1281001525
",,,,16191,,-,02-مارس-2014,,El Sheikh Zayed enterance- Arkan mall,Laboratory,Alfa Laboratories - Egypt,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001590
CID001591,104199-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معامل ترست,الحى الثالث– مركزعنايةالطبي – امام مستشفي زايد التخصصي  - الجيزة .,201210040066,,,,16183,,-,21/10/2015,,Down town Zayied - El Shekh Zayed city - Giza .,Laboratory,Trust Labs,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001591
CID001592,1897-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),شارع عبد العزيز فهمى قطعه 3 وحدة 12 و 11د فوق الارضى الكائن بمستشفى مجمع الندى الطبى  - الشيخ زايد - الجيزة .,01013009233,,,,19014,,-,16/02/2016,,"Abdel Aziz Fahmy Street area 3 Unit 12,11 D 1st Floor inside Alnada Medical Center",Laboratory,Al Mokhtabar Laboratory - Egypt,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001592
CID001593,1897-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),مركز خدمات الحى الثالث - الزياد مول اعلى مطعم الشبراوى امام مستشفى الشيخ زايد التخصصى - الشيخ زايد-الشيخ زايد - الجيزة,01028028616,,,,19014,,-,09-مارس-2012,,"Services Center, thrid District, Zeyad Mall, Above Shabrawy Resteraunt, Infront of Sheikh Zayed Hospital",Laboratory,Al Mokhtabar Laboratory - Egypt,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001593
CID001629,2329-B,القاهرة,العباسية,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,109شارع العباسية-العباسية-القاهرة,"1281001502
",,,,16191,20233367080,-,09-مارس-2012,,109 Abbsia Street,Laboratory,Alfa Laboratories - Egypt,Abasya,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001629
CID001630,1890-B,القاهرة,العباسية,معمل,معمل,معمل التحاليل الطبية,معمل الرحمة,26 شارع فهمي - خلف مستشفى دار الشفاء -العباسية-القاهرة,20224672317,,,,,,-,12-أكتوبر-2012,,"26 fahmy st, behind dar elshefaa hospital",Laboratory,Elrahma laboratory,Abasya,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001630
CID001631,1897-B,القاهرة,العباسية,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),599شارع بور سعيد - باب الشعرية -الظاهر-العباسية-القاهرة,01002180538,,,,19014,,-,09-مارس-2012,,"599 Port Said Street, Bab El Shareya",Laboratory,Al Mokhtabar Laboratory - Egypt,Abasya,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001631
CID001632,1897-B,القاهرة,العباسية,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),385شارع رمسيس - أمام مستشفى الدمرداش-العباسية-القاهرة,01002182360,,,,19014,,-,09-مارس-2012,,"385 Ramsis Street, infront of Demerdash Hospital",Laboratory,Al Mokhtabar Laboratory - Egypt,Abasya,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001632
CID001633,1897-B,القاهرة,العباسية,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),72شارع العباسية ميدان عبده باشا - قسم الوايلي-العباسية-القاهرة,01090011221,,,,19014,,-,09-مارس-2012,,"72 Abbaseya Street, Abdo Pacha Square",Laboratory,Al Mokhtabar Laboratory - Egypt,Abasya,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001633
CID001653,2329-B,الجيزة,العجوزة,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,59شارع عبد المنعم رياض - العجوزة.-العجوزة- الجيزة,"1220002643
",,,,16191,20233367080,-,09-مارس-2012,,"59 Abdel Meneim Rayd, El Agouza",Laboratory,Alfa Laboratories - Egypt,Agouza,Giza,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001653
CID001709,2329-B,القاهرة,مدينة الشروق,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,المجاورة د (2) - الحي الثاني - بجوار جهاز مدينة الشروق -  القاهرة الجديدة,"1274468876
",,,,16191,,-,29/10/2016,,Neighboring (2D) -- District 2 - sherouk city,Laboratory,Alfa Laboratories - Egypt,Sherouk City,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001709
CID001710,2329-B,القاهرة,القاهرة الجديدة,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,سيتى بلازا مول بجوار سيلفر ستار مول-التجمع الخامس-القاهرة الجديدة-القاهرة,"1203301100
",,,,16191,,-,30/03/2015,,City Plaza Mall inside Silver Star Mall,Laboratory,Alfa Laboratories - Egypt,New Cairo,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001710
CID001711,2329-B,القاهرة,القاهرة الجديدة,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,كونكورد بلازا - شارع التسعين - التجمع الخامس - القاهرة الجديدة,"1286260089
",,,,16191,,-,29/10/2016,,Concord  Plaza Mall - El Teseen Street - 5th sttelment - new cairo,Laboratory,Alfa Laboratories - Egypt,New Cairo,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001711
CID001713,1897-B,القاهرة,الرحاب,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),الرحاب ، المركز الطبي الاول الدور الاول علوي-الرحاب-القاهرة,01090011255,,,,19014,,-,09-مارس-2012,,"El Rehab, Medical Center Unit no.104",Laboratory,Al Mokhtabar Laboratory - Egypt,Rehab City,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001713
CID001714,1897-B,القاهرة,القاهرة الجديدة,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),مارينا مول قطعة 39 بجوار سفن ستارز مول-القاهرة الجديدة-القاهرة,01002182385,,,,19014,,-,09-مارس-2012,,"Marina Mall, Part 39 next to Seven stars mall",Laboratory,Al Mokhtabar Laboratory - Egypt,New Cairo,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001714
CID001715,1897-B,القاهرة,القاهرة الجديدة,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),ميديكال بارك 2 خلف محكمة التجمع الخامس بجوار صيدلية الصحة - منطقة الخدمات - مستشفى نسائم,01009228992,,,,19014,,-,20/11/2016,,Medical center (2) - Nasaem Hospital,Laboratory,Al Mokhtabar Laboratory - Egypt,New Cairo,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001715
CID001739,3395-B,القاهرة,المطرية,معمل,معمل,معمل التحاليل الطبية,ايجي لاب,94شارع المطرية - ابراج هنا-المطرية-القاهرة,20222842471,,,,16522,,-,10-أكتوبر-2012,,"94 Mattareya Road, Hana Towers",Laboratory,Egylab Egypt,Matareya,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001739
CID001740,3354-B,القاهرة,المطرية,معمل,معمل,معمل التحاليل الطبية,معمل د/ سمير شاكر بدوي,عمارات بيت العز 2 - مبنى أ - شقة 116 - المطرية - القاهرة,201278197134,201158869808,,,,,-,18/09/2016,,Beet al ezz buildings 2 - A - 116 plate -matarya - Cairo,Laboratory,Samir Shaker Badawi Laboratory,Matareya,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001740
CID001812,3395-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,ايجي لاب,87شارع 9 امام مترو المعادى - مبنى التابعى-المعادي-القاهرة,20223584808,,,,16522,,-,10-أكتوبر-2012,,"87 Road 9, infront of Metro Maadi, El Tabie Building",Laboratory,Egylab Egypt,Maadi,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001812
CID001814,3241-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,شركة معامل الحياة للتحاليل الطبية,146ش النصر- ميدان الجزائر- برج البقلاوي-المعادي-القاهرة,20227544723,201501999128,,,,,-,09-مارس-2012,,"146 Misr Street, Gazaer Sqaure, Baklawy Tower",Laboratory,Al Hayah Laboratories,Maadi,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001814
CID001824,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,28ش النصر-المعادي-القاهرة,"1281801882
",,,,16191,20233367080,-,09-مارس-2012,,28 El Nasr Street,Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001824
CID001825,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,73شارع 9 - المعادي - القاهرة,"1271122681
",,,,16191,,-,29/10/2016,,73  -  9 Street,Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001825
CID001826,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,9ميدان الحرية-المعادي-القاهرة,"1281801883
",,,,16191,20233367080,-,09-مارس-2012,,9 El Horia Square,Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001826
CID001827,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,شارع كارفور الرئيسي - المعراج العلوي - المعادي,1274467704,,,,16191,,-,29/10/2016,,Carffour Street - El Mearag,Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001827
CID001828,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,كورنيش النيل - منزل كوبرى المنيب-المعادي-القاهرة,1281801881,,,,16191,20233367080,-,09-مارس-2012,,"Kornesh El Nil El Maadi, Union with Round Road",Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001828
CID001829,2329-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل ألفا,مشروع ريحانة ريزيدنس - برج المرشدي- المعادي,1274475442,,,,16191,,-,29/10/2016,,Ryhana Project - El Mourshedy Tower,Laboratory,Alfa Laboratories - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001829
CID001831,1897-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),2/9 شارع النصر - الدور الأرضى - المعادي,01090011256,,,,19014,,-,09-مارس-2012,,2/9 Al Nasr Street - Ground Floor,Laboratory,Al Mokhtabar Laboratory - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001831
CID001832,1897-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معمل المختبر (د. مؤمنة كامل),4شارع 151 -  بجوار محطة بنزين موبيل من ميدان الحرية-المعادي-القاهرة,01090011204,,,,19014,,-,09-مارس-2012,,"151 Street, Building no. 4, beside Mobil Gas Station",Laboratory,Al Mokhtabar Laboratory - Egypt,Maadi,Cairo,Laboratory,Laboratory,Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001832
CID001833,2463-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معمل النخبة,1شارع دمشق ميدان ساويرس - خلف نادى المعادى-المعادي-القاهرة,20223801142,201211144240,,,16435,,-,09-مارس-2012,,"1 Dimashq Street, Sawirus Square, Behind Maadi Club",Laboratory,Elnokhba Laboratories-Egypt,Maadi,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001833
